,,HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt
2018,73,60240,Removal of thyroid,N,F,11,11,11,6314.5454545,889.54909091,695.49454545
2018,74,60240,Removal of thyroid,N,F,16,16,16,2563.75,839.141875,664.93875
2018,75,60240,Removal of thyroid,N,F,11,11,11,3600,764.06727273,594.57909091
2018,76,60240,Removal of thyroid,N,F,13,13,13,2855,812.16307692,647.08615385
2018,77,60240,Removal of thyroid,N,F,11,11,11,1957.0909091,783.84727273,624.52727273
2018,78,60240,Removal of thyroid,N,F,11,11,11,2874,865.56636364,689.63818182
2018,79,60240,Removal of thyroid,N,F,17,17,17,5786.5294118,735.66294118,586.13941176
2018,80,60240,Removal of thyroid,N,F,15,15,15,2434.5,859.824,685.062
2018,81,60240,Removal of thyroid,N,F,16,16,16,3041,882.536875,700.143125
2018,82,60240,Removal of thyroid,N,F,11,11,11,2163.6363636,867.41727273,684.29909091
2018,83,60240,Removal of thyroid,N,F,14,14,14,1053.7642857,848.25142857,675.84142857
2018,84,60240,Removal of thyroid,N,F,20,20,20,2500,831.63,662.597
2018,85,60240,Removal of thyroid,N,F,11,11,11,3500,746.51090909,593.56545455
2018,86,60240,Removal of thyroid,N,F,15,15,15,2254.2666667,813.644,638.54733333
2018,87,60240,Removal of thyroid,N,F,14,14,14,3030,876.13071429,698.05571429
2018,88,60240,Removal of thyroid,N,F,13,13,13,2795,884.30769231,704.56769231
2018,89,60240,Removal of thyroid,N,F,16,16,16,4205,915.050625,729.061875
2018,90,60240,Removal of thyroid,N,F,13,13,13,2253.78,926.81076923,738.43615385
2018,91,60240,Removal of thyroid,N,F,15,15,15,1400,871.47066667,673.52333333
2018,92,60240,Removal of thyroid,N,F,20,20,20,4205,1009.724,803.79
2018,93,60240,Removal of thyroid,N,F,12,12,12,1550,881.32,702.19
2018,94,60240,Removal of thyroid,N,F,11,11,11,4600,999.91181818,793.38909091
